,begin,end,subtitles_text
1,00:00:00.12,00:00:00.12,
2,00:00:02.12,00:00:02.12,">> Jeff: PREVIOUSLY ON ""SURVIVOR"":"
3,00:00:05.29,00:00:05.29,"JANE, THE TRIBE HAS SPOKEN."
4,00:00:08.92,00:00:08.92,>> Y'ALL HAVE FUN.
5,00:00:11.17,00:00:11.17,">> Jeff: ON DAY 36,"
6,00:00:12.71,00:00:12.71,"WHEN JANE WAS VOTED OUT,"
7,00:00:14.29,00:00:14.29,"THERE WERE ONLY FIVE LEFT IN THE GAME,"
8,00:00:16.46,00:00:16.46,BUT BACK ON DAY ONE...
9,00:00:19.38,00:00:19.38,"WELCOME TO ""SURVIVOR: NICARAGUA."""
10,00:00:23.62,00:00:23.62,NO ONE WOULD HAVE PREDICTED
11,00:00:25.04,00:00:25.04,"THAT DAN, FABIO, SASH, HOLLY,"
12,00:00:27.96,00:00:27.96,OR CHASE WOULD HAVE GONE SO FAR.
13,00:00:29.75,00:00:29.75,THEY'VE ALL FOLLOWED AN IMPROBABLE PATH TO THE END.
14,00:00:33.08,00:00:33.08,DAN STEPPED INTO THE HOSTILE NICARAGUAN RAIN FOREST
15,00:00:36.75,00:00:36.75,"WEARING $1,600 SHOES"
16,00:00:39.17,00:00:39.17,AND HAVING NO IDEA WHAT HE WAS GETTING INTO.
17,00:00:44.58,00:00:44.58,THREE SECONDS IN...
18,00:00:46.83,00:00:46.83,DAN IS OUT OF THE CHALLENGE.
19,00:00:48.12,00:00:48.12,"DURING THE CHALLENGES,"
20,00:00:49.92,00:00:49.92,HE WAS EITHER INEFFECTIVE
21,00:00:51.17,00:00:51.17,OR DIDN'T PARTICIPATE AT ALL.
22,00:00:53.79,00:00:53.79,">> THIS TRIBE MIGHT THINK I'M A WEAK LINK,"
23,00:00:56.42,00:00:56.42,BUT I DON'T CONSIDER MYSELF A WEAK LINK.
24,00:00:58.42,00:00:58.42,>> Jeff: BUT HE'S THE ONLY ONE LEFT
25,00:01:02.12,00:01:02.12,WHO HASN'T MADE ANY ENEMIES.
26,00:01:04.12,00:01:04.12,AND HE'S WELL-LIKED BY EVERYONE
27,00:01:05.54,00:01:05.54,ON THE JURY.
28,00:01:06.67,00:01:06.67,>> DAN IS HILARIOUS.
29,00:01:08.04,00:01:08.04,TO ME HE'S LIKE AN OLD WISE GUY.
30,00:01:09.62,00:01:09.62,>> Jeff: HOLLY'S TRIP TO THE FINAL FIVE
31,00:01:11.79,00:01:11.79,WAS ALSO EXTREMELY IMPROBABLE.
32,00:01:14.12,00:01:14.12,"HOLLY, I'M NOT SO SURE"
33,00:01:16.21,00:01:16.21,THAT EVERYBODY IS AS COMFORTABLE
34,00:01:17.58,00:01:17.58,AS THEY WERE WHEN WE STARTED.
35,00:01:18.88,00:01:18.88,ARE YOU?
36,00:01:19.92,00:01:19.92,>> NO.
37,00:01:21.04,00:01:21.04,>> Jeff: HOLLY WAS EVEN MORE UNCOMFORTABLE
38,00:01:22.75,00:01:22.75,BACK ON DAY FIVE
39,00:01:24.12,00:01:24.12,WHEN SHE COMPLETELY FLIPPED OUT
40,00:01:26.21,00:01:26.21,AND STOLE DAN'S SHOES.
41,00:01:27.79,00:01:27.79,">> THE NEW YORK CITY BOY, DANNY,"
42,00:01:29.71,00:01:29.71,"HE DOESN'T LIKE SAND ON HIM,"
43,00:01:31.08,00:01:31.08,SO LET'S JUST FILL HIS SHOES UP.
44,00:01:32.96,00:01:32.96,>> Jeff: LATER WHEN SHE TRIED TO QUIT...
45,00:01:36.54,00:01:36.54,>> I CAN'T DO IT.
46,00:01:37.88,00:01:37.88,>> Jeff: ...A PEP TALK FROM COACH JIMMIE JOHNSON
47,00:01:40.25,00:01:40.25,COMPLETELY TURNED HER GAME AROUND.
48,00:01:42.71,00:01:42.71,>> WE REALLY DO NEED YOU.
49,00:01:47.17,00:01:47.17,">> Jeff: AND BY DAY 27,"
50,00:01:49.96,00:01:49.96,SHE HAD BECOME THE GODMOTHER OF HER TRIBE
51,00:01:52.08,00:01:52.08,AND PULLED OFF A SUCCESSFUL HIT ON BRENDA
52,00:01:54.75,00:01:54.75,WHO AT THE TIME WAS THE MOST STRATEGIC PLAYER
53,00:01:57.00,00:01:57.00,IN THE GAME.
54,00:01:58.25,00:01:58.25,>> WE'RE ALL IN CONSENSUS
55,00:01:59.25,00:01:59.25,THAT BRENDA HAS TO GO FIRST.
56,00:02:00.58,00:02:00.58,SHE'S THE RINGLEADER.
57,00:02:04.04,00:02:04.04,">> Jeff: AT THE LAST TRIBAL COUNCIL,"
58,00:02:05.50,00:02:05.50,CHASE GOT INTO HOT WATER
59,00:02:07.25,00:02:07.25,WHEN HE REVEALED HIS FINAL THREE ALLIANCE.
60,00:02:09.29,00:02:09.29,"TO BE CLEAR, THERE IS A THREE-PERSON ALLIANCE."
61,00:02:12.50,00:02:12.50,"IT IS CHASE,"
62,00:02:14.04,00:02:14.04,"IT IS HOLLY, AND IT IS SASH."
63,00:02:15.42,00:02:15.42,>> YEAH.
64,00:02:16.42,00:02:16.42,>> YES.
65,00:02:17.42,00:02:17.42,>> Jeff: BUT HIS ALLIANCES
66,00:02:18.54,00:02:18.54,AREN'T ALWAYS WHAT THEY SEEM.
67,00:02:20.12,00:02:20.12,"SINCE DAY THREE,"
