,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00, >> JEFF PROBST: The South
2,00:00:10.00,00:00:10.00,Pacific. Thousands of islands
3,00:00:19.29,00:00:19.29,lay scattered across the world's most beautiful ocean.
4,00:00:28.25,00:00:28.25,"But for centuries, man has traveled these waters to meet"
5,00:00:32.25,00:00:32.25,in combat. From brutal tribal warfare to
6,00:00:38.67,00:00:38.67,"the the epic battles of World War II, this is a place where"
7,00:00:43.25,00:00:43.25,rivals have long traveled to settle old scores.
8,00:00:47.75,00:00:47.75,It is the perfect setting for our biggest showdown yet.
9,00:00:52.17,00:00:52.17,Welcome to the 20th season of Survivor.
10,00:00:57.21,00:00:57.21,"Over the past ten years, Survivor has traveled to some"
11,00:00:59.92,00:00:59.92,"of the most desolate, dangerous and exotic places"
12,00:01:04.17,00:01:04.17,in the world. (bird calling)
13,00:01:10.04,00:01:10.04,Over 300 people have tested themselves in the most
14,00:01:14.08,00:01:14.08,difficult and groundbreaking show on television.
15,00:01:21.62,00:01:21.62,We have gathered 20 of them to play one more time.
16,00:01:53.75,00:01:53.75,These are ten of your favorite heroes...
17,00:01:57.12,00:01:57.12,versus ten of the most notorious villains.
18,00:02:03.58,00:02:03.58,">> In my world, I've always tried to show that good"
19,00:02:08.12,00:02:08.12,will win. >> I'm a villain.
20,00:02:14.00,00:02:14.00,I think villains are smarter than heroes because they don't
21,00:02:17.25,00:02:17.25,mind stabbing somebody in the back to get where they want
22,00:02:21.62,00:02:21.62,to get. It's a fact.
23,00:02:23.62,00:02:23.62,It's a proven fact. Google it.
24,00:02:29.17,00:02:29.17,>> The Heroes are definitely people I would rather play the
25,00:02:31.67,00:02:31.67,game with. The Villains are the people
26,00:02:34.04,00:02:34.04,I've always been against. So this is perfect for me to be
27,00:02:37.50,00:02:37.50,on the heroes' side and battle it out against these punks I
28,00:02:40.21,00:02:40.21,don't like anyway. >> I've been labeled things
29,00:02:44.50,00:02:44.50,"like ""She-devil in a blue bikini,"" ""The wicked witch of"
30,00:02:48.50,00:02:48.50,"the West."" ""Man-eater Manthey""-- that was"
31,00:02:51.46,00:02:51.46,my favorite one. (chuckles)
32,00:02:58.25,00:02:58.25,>> I'm back here to do what I came to do the first time-- get
33,00:03:01.50,00:03:01.50,to the end and make the money. So I'm definitely coming back
34,00:03:04.67,00:03:04.67,"to redeem myself. >> This time, I slay everyone"
35,00:03:12.08,00:03:12.08,and trust no one. This is my chance for
36,00:03:13.92,00:03:13.92,redemption. >> I'm not in the shape I was
37,00:03:17.79,00:03:17.79,"last time, but I still think that I could hang in there as"
38,00:03:21.92,00:03:21.92,tough as any guy next to me. >> But these people are
39,00:03:26.08,00:03:26.08,"smart, they'll get rid of me right right away."
40,00:03:28.58,00:03:28.58,"It's the smartest thing they could do, but they won't."
41,00:03:31.54,00:03:31.54,They never do. >> I'm almost a decade older
42,00:03:36.04,00:03:36.04,"than I was the first time. So to me, it's a test to see if"
43,00:03:40.29,00:03:40.29,"I still got it. >> Last time I was mean, and"
44,00:03:44.12,00:03:44.12,"this time I'm meaner. You know, I'll lie."
45,00:03:47.08,00:03:47.08,I don't care. But I'll make up a good lie.
46,00:03:53.42,00:03:53.42,>> People think they know me. They really don't know me.
47,00:03:58.17,00:03:58.17,(laughing) I'm a gangster in a Oprah suit.
48,00:04:02.04,00:04:02.04,"But I'm not, like, a mean gangster."
49,00:04:05.67,00:04:05.67,"I'm a nice gangster with a smile, you know."
50,00:04:08.33,00:04:08.33,>> PROBST: it is still the ultimate challenge:
51,00:04:11.12,00:04:11.12,20 people forced to work together while battling the
52,00:04:14.92,00:04:14.92,elements and each other. They must learn to adapt or
53,00:04:18.46,00:04:18.46,"they'll be voted out. In the end, only one will"
54,00:04:22.04,00:04:22.04,remain to claim the million-dollar prize.
55,00:04:25.08,00:04:25.08,"39 days, 20 people, one survivor."
56,00:04:41.12,00:04:41.12,(theme song playing) \xe2\x99\xaa \xe2\x99\xaa
57,00:05:55.00,00:05:55.00,">> Flying in the choppers, my heart's beating a mile a minute."
58,00:06:00.50,00:06:00.50,I'm sitting right next to Tom and Cirie and all these people.
59,00:06:04.83,00:06:04.83,I know the game's going. I'm finally back in the game.
60,00:06:12.29,00:06:12.29,">> Flying in on the helicopter, you can feel something"
61,00:06:15.33,00:06:15.33,in the air. There's an electricity.
62,00:06:18.88,00:06:18.88,There's a tension. There's a level of excitement
63,00:06:22.46,00:06:22.46,"that is coursing through everybody's veins,"
64,00:06:25.92,00:06:25.92,"especially mine. And to start off like that, I"
65,00:06:28.92,00:06:28.92,think sets a great tone for how the season is gonna be.
66,00:06:34.88,00:06:34.88,">> Believe it or not, I'm a little nervous going in."
67,00:06:37.96,00:06:37.96,I'm still in awe of who I'm here with.
68,00:06:40.46,00:06:40.46,"I mean, for God's sake, Boston Rob..."
