,begin,end,subtitles_text
1,00:00:00.00,00:00:00.00," >> JEFF PROBST: 27 days ago, two"
2,00:00:03.46,00:00:03.46,tribes of ten castaways each began an epic battle.
3,00:00:07.04,00:00:07.04,"The purple tribe, Galu, won almost every encounter."
4,00:00:11.33,00:00:11.33,Galu wins immunity! By the time the two tribes
5,00:00:16.21,00:00:16.21,"merged, the yellow tribe, Foa Foa, was down to four."
6,00:00:19.29,00:00:19.29,"The old Galu had eight, and they planned to keep it that"
7,00:00:22.17,00:00:22.17,"way. >> What's Samoan for ""Get the"
8,00:00:23.96,00:00:23.96,"hell off my island""? >> Look at us."
9,00:00:26.58,00:00:26.58,We're like savages. >> PROBST: But the old Foa Foa
10,00:00:29.38,00:00:29.38,losses sharpened their ability to strategize.
11,00:00:32.25,00:00:32.25,>> Things are about to change totally in this game.
12,00:00:35.25,00:00:35.25,I don't think they even realize it right now.
13,00:00:37.38,00:00:37.38,We're steps ahead of them. We already have our plan down.
14,00:00:39.88,00:00:39.88,>> PROBST: And the plan worked. At the next two Tribal
15,00:00:43.46,00:00:43.46,"Councils, two of the old Galu went home."
16,00:00:46.25,00:00:46.25,But the old Foa Foa paid a price-- Russell had to play his
17,00:00:50.29,00:00:50.29,hidden immunity idol. Then three game-changing
18,00:00:55.42,00:00:55.42,"events took place. One, Russell found another"
19,00:00:58.79,00:00:58.79,"hidden immunity idol. >> Oh, my God!"
20,00:01:01.67,00:01:01.67,">> PROBST: Two, Shambo agreed to vote with the Foa Foa four"
21,00:01:05.04,00:01:05.04,to take out Laura. >> It is the destiny of Laura
22,00:01:07.75,00:01:07.75,"to go home. >> PROBST: And, three, John"
23,00:01:10.58,00:01:10.58,"agreed to switch his vote, hoping that Russell would vote"
24,00:01:13.21,00:01:13.21,out a Foa Foa next. >> Next one needs to be Foa Foa.
25,00:01:15.58,00:01:15.58,Deal? >> Okay. That's a deal.
26,00:01:17.79,00:01:17.79,">> PROBST: At Tribal Council, John changed his vote."
27,00:01:22.21,00:01:22.21,The ninth person voted out and the third member of our jury.
28,00:01:25.25,00:01:25.25,And Laura made it three of the old Galus in a row.
29,00:01:31.21,00:01:31.21,">> PROBST: And now, the entire tribe is about to find out if"
30,00:01:33.58,00:01:33.58,the old Foa Foa is as good at holding on to a lead as they are
31,00:01:37.17,00:01:37.17,at getting one. Nine are left.
32,00:01:40.17,00:01:40.17,Who will be voted out tonight? (chickens clucking)
33,00:02:04.04,00:02:04.04,>> Medusa has been dethroned. Is that just hysterical?
34,00:02:08.54,00:02:08.54,"(snickering) >> At Tribal tonight, Laura"
35,00:02:15.00,00:02:15.00,went home. The vote was 5-5.
36,00:02:18.46,00:02:18.46,The rules of Survivor say that if there is another tie after a
37,00:02:22.12,00:02:22.12,"second round of voting, the remaining members would choose"
38,00:02:25.75,00:02:25.75,rocks. One of those rocks would be of
39,00:02:28.25,00:02:28.25,"a different color, and that person would go home."
40,00:02:30.50,00:02:30.50,I'm not going to go home because of ridiculous rocks.
41,00:02:33.62,00:02:33.62,"I gave multiple, multiple explanations and multiple"
42,00:02:37.50,00:02:37.50,"rationale for why we should be making different decisions, and"
43,00:02:40.08,00:02:40.08,no dice. I had a conversation with
44,00:02:44.58,00:02:44.58,Russell in which he and I said the next person to go would be
45,00:02:48.46,00:02:48.46,"Foa Foa. So right now, I think I have a"
46,00:02:51.29,00:02:51.29,"pretty good position. What's funny is, collectively,"
47,00:02:54.42,00:02:54.42,"they made the correct move, and I made the correct move."
48,00:02:58.08,00:02:58.08,">> We all want to make it to the end, but at some point, you"
49,00:03:01.21,00:03:01.21,need to show loyalty and integrity and respect for the
50,00:03:06.08,00:03:06.08,people that you made promises to.
51,00:03:08.62,00:03:08.62,When it came down to it tonight...
52,00:03:10.62,00:03:10.62,>> Uh-huh. >> I still could not flop for
53,00:03:12.42,00:03:12.42,Laura. I definitely have come to see
54,00:03:14.71,00:03:14.71,John as little bit more as a Judas of the Galu tribe.
55,00:03:17.67,00:03:17.67,Then John has to go home. \xe2\x99\xaa \xe2\x99\xaa
56,00:04:20.04,00:04:20.04,">> Tree mail. >> Oh, happy day!"
57,00:04:23.08,00:04:23.08,">> Oh, y'all going to be happy about this."
58,00:04:25.08,00:04:25.08,You might as well get up. >> Is it food?
59,00:04:26.46,00:04:26.46,">> You're kidding me, dude! >> Open it up first."
60,00:04:30.00,00:04:30.00,>> Eh. >> Oh!
61,00:04:32.12,00:04:32.12,(belly-laugh) >> Cold cash money!
62,00:04:35.04,00:04:35.04,>> Yeah! (cheering)
63,00:04:40.08,00:04:40.08,">> ""Going once, going twice, gone."
64,00:04:43.04,00:04:43.04,This should be some fun. Play is right and you just may
